0,0,0,-0,-0,-1,0,1,-0
7.14619,141.338,-165.516,0.845308,-0.059964,-0.530904,0.0507794,0.998201,-0.0318925
325.27,122.251,-207.402,0.983676,-0.059964,-0.169662,0.0590915,0.998201,-0.010192
556.555,107.342,-188.021,0.991609,-0.0699428,0.108719,0.0695262,0.997551,0.00762277
820.795,74.2927,-117.61,0.582302,-0.00999982,0.812911,0.00582321,0.99995,0.00812936
1016.01,54.4812,134.354,-0.37841,-0.0399893,0.924774,-0.0151445,0.9992,0.0370107
822.149,115.036,347.541,-0.930696,0.20846,0.300583,0.198371,0.978031,-0.064067
340.602,218.217,424.851,-0.989633,0.129634,0.0618214,0.129382,0.991562,-0.00808236
-276.43,276.303,430.479,-0.999873,-0.00999981,0.0123859,-0.00999904,0.99995,0.000123862
-893.195,243.333,462.565,-0.854961,-0.17903,-0.486817,-0.155577,0.983844,-0.0885858
-1244.15,198.674,169.128,-0.132614,0.0499792,-0.989907,0.00663621,0.99875,0.0495366
-1097,260.524,-74.792,0.781004,0.470626,-0.41054,-0.416579,0.882333,0.218977
-936.091,450.845,-48.5819,0.370856,0.589145,-0.717896,-0.270397,0.808028,0.523428
-863.403,609.1,-155.861,-0.307707,0.247404,-0.918753,0.0785704,0.968912,0.234596
-924.668,641.115,-362.572,-0.985788,0.0199987,-0.166801,0.0197185,0.9998,0.00333647
-1186.43,640.855,-298.911,-0.0683466,0.0199987,0.997461,0.00136712,0.9998,-0.019952
-1200.15,636.217,-59.8675,0.644623,-0.0499791,0.762865,0.032258,0.99875,0.038175
-953.36,638.471,68.3218,0.995974,0.0099999,0.0890887,-0.00996013,0.99995,-0.000890922
-730.473,636.973,174.64,0.400063,6.70552e-08,0.916488,-2.68263e-08,1,-6.14553e-08
-493.415,629.896,364.363,0.977671,-0.0199986,-0.209189,0.019556,0.9998,-0.00418433
178.542,616.662,395.757,0.957587,-0.0299954,-0.286579,0.0287362,0.99955,-0.00859992
729.483,589.69,409.006,0.547346,-0.0499791,-0.835413,0.0273901,0.99875,-0.0418054
1029.99,585.369,141.807,-0.749435,0.0699429,-0.658373,0.0525463,0.997551,0.0461616
1042.8,597.54,-136.647,-0.89207,0.0898786,-0.44287,0.0805038,0.995953,0.0399663
931.073,646.514,-405.241,-0.824989,0.389418,-0.409568,0.3488,0.921061,0.173162
636.913,718.045,-349.142,-0.572774,-0.0699427,0.816724,-0.0401597,0.997551,0.0572641
559.609,782.837,-115.731,-0.342901,0.932039,0.117143,0.881992,0.362358,-0.30131
639.505,1101.06,-143.025,-0.342901,0.932039,0.117143,0.881992,0.362358,-0.30131
715.72,1375.77,-58.7193,-0.931885,0.361616,-0.0287162,0.361444,0.932327,0.011138
631.474,1654,182.156,-0.820853,0.389418,-0.417797,0.347051,0.921061,0.176642
397.774,1654,371.776,-0.291253,-0.169182,-0.941567,-0.0499955,0.985585,-0.161626
