frameID,BVH,gBuffer,shadowMask,lighting,copy
0,0.001344,0.181165,0.281562,0.050208,0.0179968
1,0.001312,0.198246,0.285632,0.0500608,0.0177216
2,0.0013184,0.207827,0.287635,0.049984,0.0176768
3,0.0013376,0.211962,0.289632,0.0496896,0.01808
4,0.0013312,0.212506,0.294035,0.050496,0.0176896
5,0.0013376,0.214784,0.297491,0.0508352,0.0176704
6,0.0013248,0.21712,0.296589,0.0507072,0.0180224
7,0.0013312,0.217472,0.297408,0.0505344,0.0182272
8,0.0013248,0.215021,0.300013,0.0506752,0.0178944
9,0.0013376,0.21447,0.302138,0.0509184,0.0175104
10,0.0013312,0.21264,0.300262,0.0507136,0.017952
11,0.0013312,0.210061,0.300653,0.050816,0.0175552
12,0.0013312,0.212224,0.301222,0.0509248,0.018336
13,0.0013312,0.212768,0.303482,0.0508544,0.0181632
14,0.0013312,0.217152,0.30537,0.051424,0.0176384
15,0.0013248,0.218829,0.305792,0.0511552,0.0180416
16,0.0013312,0.220627,0.300166,0.051392,0.017504
17,0.001344,0.219827,0.289478,0.0514112,0.0176896
18,0.0013248,0.221203,0.289824,0.0513984,0.0181312
19,0.0013248,0.220589,0.29312,0.050848,0.0178816
20,0.0013184,0.223693,0.29513,0.0510336,0.0180288
21,0.0013312,0.219411,0.297299,0.050848,0.0182656
22,0.0013184,0.217389,0.299046,0.0502144,0.0178816
23,0.0013312,0.213024,0.300915,0.0502528,0.0179328
24,0.0013312,0.210362,0.303181,0.0499968,0.0176576
25,0.0013184,0.205133,0.299782,0.050368,0.0175296
26,0.0013248,0.206061,0.303994,0.0499776,0.0179392
27,0.0013184,0.208339,0.29479,0.0499968,0.018016
28,0.0013312,0.209152,0.281498,0.0507328,0.0177728
29,0.0013376,0.212755,0.281184,0.0511168,0.0178624
30,0.0013376,0.220416,0.292986,0.05136,0.0180544
31,0.0013248,0.219885,0.291846,0.0511744,0.0180544
32,0.0013184,0.219949,0.284429,0.0511872,0.0174272
33,0.0013184,0.219514,0.281523,0.0511744,0.0177408
34,0.0013184,0.220173,0.276992,0.0513216,0.01808
35,0.0013952,0.219283,0.278323,0.0513152,0.0177664
36,0.001312,0.220122,0.276672,0.0509632,0.0179392
37,0.0013248,0.217997,0.28009,0.0507776,0.0178752
38,0.0013376,0.220621,0.279571,0.050912,0.0176192
39,0.001344,0.222829,0.28368,0.05056,0.0179328
40,0.001344,0.222118,0.281779,0.050848,0.0177216
41,0.001312,0.222118,0.286906,0.0507392,0.0181248
42,0.001344,0.235546,0.306381,0.0513024,0.018848
43,0.001408,0.244691,0.322662,0.0513856,0.0201024
44,0.0013504,0.245242,0.328557,0.0519808,0.019904
45,0.0013696,0.245786,0.321702,0.051584,0.0196288
46,0.0013696,0.246637,0.325638,0.051552,0.0199744
47,0.0013632,0.250029,0.329754,0.0520768,0.020064
48,0.0013696,0.248346,0.332461,0.0520576,0.02
49,0.0013632,0.245869,0.33943,0.0515328,0.0203584
50,0.0013888,0.247027,0.342835,0.0516352,0.020064
51,0.001376,0.242643,0.345683,0.0508416,0.02016
52,0.0013632,0.245069,0.35488,0.0510848,0.019648
53,0.0013568,0.240627,0.345357,0.0505344,0.0203776
54,0.0013632,0.244077,0.336243,0.050624,0.0201472
55,0.0013568,0.242579,0.324371,0.0510272,0.0199488
56,0.0013568,0.233229,0.321107,0.05136,0.0203904
57,0.0013568,0.236128,0.322253,0.0519424,0.0199488
58,0.0013632,0.241933,0.333715,0.0518848,0.0203136
59,0.0013696,0.241894,0.327302,0.0518016,0.0202304
60,0.0013568,0.235014,0.318797,0.0519744,0.0203904
61,0.0013568,0.232083,0.319968,0.0515072,0.0204544
62,0.001376,0.232128,0.316851,0.0516416,0.0204224
63,0.001376,0.230931,0.317882,0.0520896,0.0204352
64,0.0013632,0.229715,0.320474,0.0518912,0.0204416
65,0.0013632,0.229568,0.315686,0.0519616,0.0202048
66,0.001376,0.226579,0.310662,0.0516672,0.0201984
67,0.001376,0.228269,0.310355,0.0518912,0.020384
68,0.0013632,0.228326,0.302547,0.0516352,0.0200512
69,0.0013568,0.225747,0.301798,0.0515968,0.0202112
70,0.0013568,0.223738,0.299354,0.0511616,0.0202304
71,0.001344,0.221798,0.296474,0.0512896,0.0204032
72,0.0013952,0.218515,0.291738,0.0505856,0.020448
73,0.0013824,0.217344,0.289888,0.0508544,0.02048
74,0.0013696,0.215558,0.287699,0.0508352,0.0204032
75,0.0013568,0.213235,0.28601,0.050304,0.0204736
76,0.0013632,0.210253,0.283795,0.0511424,0.020416
77,0.0014272,0.203398,0.280416,0.0509376,0.0204288
78,0.0013632,0.203712,0.281299,0.051104,0.0203968
79,0.001376,0.204102,0.281638,0.05088,0.0201792
80,0.0013888,0.202323,0.281734,0.0510656,0.0204416
81,0.0013696,0.202163,0.28311,0.0509824,0.0202752
82,0.0013824,0.204877,0.290042,0.0518016,0.020864
83,0.0013952,0.205869,0.292186,0.0517504,0.0206144
84,0.001376,0.206778,0.292877,0.052256,0.0209088
85,0.0013568,0.207469,0.293267,0.0523072,0.020928
86,0.0013952,0.208416,0.293939,0.0521472,0.0209472
87,0.001376,0.210112,0.293299,0.0525632,0.0208192
88,0.0013824,0.210266,0.292685,0.0522752,0.0206336
