frameID,BVH,gBuffer,shadowMask,lighting,copy
100,0.0012864,6.16588,5.73477,1.72285,0.135379
101,0.0012672,6.45862,5.8078,1.72885,0.133536
102,0.0013056,6.48644,5.72765,1.62774,0.115917
103,0.0012672,6.16964,5.81628,1.76855,0.127398
104,0.0012672,6.58795,5.82666,1.69844,0.1224
105,0.0012608,6.45686,5.82805,1.59565,0.120109
106,0.0013248,6.29565,5.91768,1.74573,0.122061
107,0.0012736,6.63135,5.85751,1.63725,0.116531
108,0.0012608,6.41151,5.78413,1.66408,0.116909
109,0.0012736,6.38982,5.8399,1.70832,0.118886
110,0.0012736,6.46139,5.67814,1.56455,0.111546
111,0.0012928,6.29324,5.53793,1.58648,0.113958
112,0.0012672,6.01779,5.36573,1.63025,0.103546
113,0.0013312,5.87951,5.2704,1.64292,0.104288
114,0.0012736,6.02335,5.27,1.63992,0.145926
115,0.0012288,6.30412,5.37336,1.62943,0.10464
116,0.0013312,6.20417,5.45878,1.66009,0.109325
117,0.0012608,6.18974,5.4438,1.64311,0.102592
118,0.0012608,6.01213,5.43839,1.6326,0.101926
119,0.0012544,6.27558,5.55134,1.60705,0.110381
120,0.00128,5.90262,5.55836,1.69658,0.108794
121,0.0012736,6.32673,5.59781,1.68701,0.106189
122,0.0012608,6.81457,5.50529,1.64974,0.103322
123,0.0012544,6.69408,5.45088,1.6295,0.109421
124,0.0013056,7.44835,5.73411,1.66799,0.114157
125,0.0012672,6.99064,5.65966,1.67342,0.113152
126,0.0012672,7.52826,5.70277,1.60371,0.126707
127,0.0012864,6.59562,5.60247,1.69389,0.119674
128,0.0012928,7.34093,5.67246,1.67882,0.115597
129,0.001248,7.13853,5.70975,1.7483,0.12601
130,0.00128,7.2634,5.65833,1.58929,0.11495
131,0.00128,6.97187,5.73146,1.80783,0.121158
132,0.0012864,7.4137,5.54229,1.55601,0.110054
133,0.0012096,7.14526,5.69507,1.81247,0.127725
134,0.0012672,7.66074,5.43651,1.65135,0.112371
135,0.0012672,7.95707,5.47825,1.60266,0.112851
136,0.0012544,7.79283,5.55134,1.84308,0.125939
137,0.0012352,7.86046,5.4273,1.72637,0.116698
138,0.00128,8.54718,5.38012,1.56184,0.109907
139,0.0012672,8.72355,5.43197,1.54634,0.109984
140,0.0012672,7.93293,5.67259,1.75145,0.118029
141,0.0012608,7.9731,5.53747,1.82393,0.131181
142,0.0012736,7.85004,5.46049,1.71148,0.115546
143,0.0013056,8.53605,5.43839,1.59178,0.115667
144,0.0012736,8.23867,5.61929,1.65357,0.109203
145,0.0012672,7.80572,5.60284,1.81068,0.122822
146,0.0012992,7.76412,5.50599,1.73455,0.120147
147,0.0013568,8.36463,5.47952,1.55132,0.107066
148,0.0012928,8.45021,5.57418,1.54791,0.120192
149,0.0012672,8.08597,5.78712,1.72484,0.10407
150,0.0012608,7.76262,5.73244,1.82851,0.129101
151,0.00128,7.9744,5.80682,1.84772,0.129344
152,0.0012672,8.44063,5.79487,1.84596,0.130406
153,0.0012672,8.47743,5.8073,1.84358,0.126963
154,0.0012608,8.15848,5.83111,1.84972,0.127251
155,0.0012672,8.26768,5.84882,1.8129,0.127866
156,0.0012992,8.42815,5.81941,1.83884,0.126611
157,0.0012928,8.51379,5.83869,1.846,0.129664
158,0.0012736,8.17599,5.86913,1.82712,0.13248
159,0.0012672,8.45049,5.88081,1.85619,0.131373
160,0.0012736,8.34109,5.86491,1.85063,0.130048
161,0.0012864,8.18089,5.84157,1.81776,0.130842
162,0.0012928,7.95162,5.72926,1.83565,0.128685
163,0.0012736,8.13663,5.5428,1.76209,0.11447
164,0.0013696,8.25645,5.44639,1.60843,0.111328
165,0.0012672,9.25612,5.42156,1.56621,0.113107
166,0.0012416,9.01604,5.35902,1.56411,0.11415
167,0.0012672,9.62148,5.33394,1.55829,0.103808
168,0.0012672,9.34699,5.31141,1.55565,0.10311
169,0.001792,9.07092,5.29916,1.6846,0.139584
170,0.0012736,8.71559,5.30941,1.58298,0.104269
171,0.0013056,8.92556,5.30761,1.5487,0.103059
172,0.0012672,9.3289,5.31444,1.55172,0.107194
173,0.00128,9.03181,5.31586,1.55229,0.10368
174,0.0012608,9.34775,5.33579,1.54242,0.111763
175,0.0018496,9.63399,5.35474,1.56223,0.105997
176,0.0012672,8.87761,5.37482,1.57183,0.102579
177,0.0013312,8.9108,5.38664,1.54275,0.106445
178,0.0013376,9.24746,5.39176,1.54364,0.101658
179,0.00192,8.82667,5.41536,1.53854,0.105248
180,0.0012864,9.34375,5.41194,1.55048,0.107757
181,0.0013184,8.93867,5.46077,1.58401,0.104326
182,0.0018624,9.18936,5.48268,1.55034,0.1072
183,0.0020352,9.06111,5.54483,1.54991,0.101286
184,0.0027008,8.82045,5.59523,1.58137,0.102048
185,0.002752,8.73892,5.63596,1.55403,0.135334
186,0.00128,8.51369,5.66769,1.55503,0.106874
187,0.0019456,8.82426,5.69014,1.5561,0.102349
188,0.0012672,8.42929,5.68362,1.61265,0.104902
189,0.0028032,8.64494,5.64404,1.54783,0.103238
190,0.001216,8.83474,5.66101,1.56779,0.108595
191,0.0017024,8.92652,5.67519,1.5897,0.145274
192,0.0012672,8.48072,5.6948,1.60458,0.141997
193,0.0012224,8.48091,5.68865,1.74086,0.10825
194,0.001312,8.38134,5.67788,1.58458,0.141024
195,0.00128,8.45082,5.68857,1.56601,0.105722
196,0.0012672,8.89811,5.714,1.57221,0.109773
197,0.0012736,9.01631,5.68585,1.55364,0.157882
198,0.0012608,8.76794,5.63873,1.56043,0.104762
199,0.0012864,8.80971,5.62356,1.56374,0.109549
200,0.0012672,8.93515,5.65084,1.56448,0.104358
201,0.0018368,8.93037,5.6661,1.58099,0.149587
202,0.0012544,8.79709,5.67113,1.55703,0.104442
203,0.0012864,8.61641,5.66801,1.54995,0.108403
204,0.0013632,8.69059,5.67021,1.55624,0.151738
205,0.00128,8.91674,5.66193,1.55447,0.102714
206,0.0012736,9.12121,5.62061,1.5801,0.103494
207,0.0012736,8.58496,5.63333,1.65973,0.105158
208,0.001248,8.50372,5.59617,1.57405,0.106701
209,0.0019904,8.82338,5.58331,1.53261,0.101722
210,0.00128,9.23112,5.61585,1.53771,0.101869
211,0.0016896,8.43948,5.634,1.54577,0.101056
