frameID,BVH,gBuffer,shadowMask,lighting,copy
0,0.001472,0.35895,0.599411,0.110278,0.0338112
1,0.0021312,0.383539,0.606566,0.154874,0.029408
2,0.0014592,0.419392,0.672384,0.105517,0.0292864
3,0.0013888,0.388582,0.451635,0.103866,0.0224704
4,0.001408,0.382125,0.457792,0.104832,0.0224384
5,0.001408,0.387981,0.465862,0.105242,0.0225472
6,0.001408,0.389382,0.46441,0.104512,0.0226048
7,0.001344,0.397229,0.46624,0.105594,0.0225856
8,0.001376,0.390598,0.47008,0.105619,0.0227072
9,0.0013952,0.394208,0.472173,0.104883,0.022688
10,0.0013888,0.394778,0.470336,0.105581,0.022656
11,0.001408,0.387795,0.47225,0.105414,0.0230848
12,0.0013824,0.386112,0.471251,0.105741,0.0227648
13,0.0013952,0.392358,0.473267,0.10608,0.0228864
14,0.001408,0.395373,0.477645,0.106317,0.0227136
15,0.0014784,0.394118,0.478573,0.10583,0.0227392
16,0.0013824,0.390458,0.468998,0.106477,0.0229568
17,0.0013952,0.398285,0.452403,0.107002,0.0226432
18,0.0013888,0.39529,0.45319,0.107136,0.0229888
19,0.0014464,0.403187,0.459053,0.106675,0.0225664
20,0.001376,0.399379,0.46249,0.105677,0.0225472
21,0.0013952,0.382323,0.466016,0.104966,0.0225408
22,0.0013888,0.370048,0.468589,0.104608,0.022464
23,0.0013888,0.360128,0.469869,0.10375,0.0225152
24,0.0013952,0.357939,0.474125,0.103021,0.022528
25,0.0014272,0.354656,0.469837,0.103059,0.0224448
26,0.0013952,0.361626,0.474861,0.104147,0.0225472
27,0.0014016,0.362912,0.461158,0.104154,0.0228736
28,0.0014016,0.37943,0.437459,0.105446,0.0230016
29,0.0013952,0.399859,0.436902,0.106214,0.0230272
30,0.0013824,0.406259,0.457856,0.106374,0.023616
31,0.0014272,0.407078,0.45783,0.106829,0.0233536
32,0.0013888,0.40656,0.44617,0.106522,0.023104
33,0.0014144,0.404026,0.441542,0.106771,0.0237312
34,0.0013888,0.401434,0.43415,0.107155,0.0239808
35,0.001408,0.407251,0.436563,0.10704,0.0242176
36,0.0014144,0.406074,0.434586,0.106778,0.0244224
37,0.0013888,0.404826,0.436755,0.106752,0.0245888
38,0.0014016,0.402714,0.437459,0.106758,0.0243776
39,0.0013888,0.405984,0.443846,0.105389,0.0240832
