frameID,BVH,gBuffer,shadowMask,lighting,copy
0,0.001408,1.08315,1.66905,0.432134,0.0427648
1,0.001376,1.1953,1.78176,0.403994,0.0402048
2,0.00144,1.31485,1.70895,0.516506,0.0410944
3,0.0013056,1.3786,1.72059,0.401542,0.040384
4,0.001856,1.451,1.74873,0.404346,0.0400128
5,0.0013568,1.43078,1.82893,0.408595,0.0403712
6,0.0013568,1.46481,1.86948,0.402803,0.0410176
7,0.0013184,1.42983,1.81654,0.406957,0.0418624
8,0.0014144,1.39293,1.80684,0.407219,0.0416384
9,0.0015296,1.4061,1.83501,0.406406,0.04176
10,0.0012992,1.34388,1.84133,0.406176,0.0420096
11,0.00128,1.37388,1.89829,0.411654,0.0417536
12,0.0019264,1.37888,1.84745,0.406266,0.0418496
13,0.0013056,1.32694,1.93378,0.407571,0.0419584
14,0.0013504,1.35544,1.86797,0.406022,0.0412544
15,0.0013376,1.42463,1.90111,0.406061,0.0414912
16,0.0013696,1.3859,1.85914,0.410278,0.0416512
17,0.0013696,1.4434,1.78531,0.408211,0.0426432
18,0.0013632,1.45079,1.79247,0.407469,0.04192
19,0.0013824,1.45098,1.86662,0.406899,0.0424704
20,0.0013312,1.41991,1.79629,0.401907,0.0424
21,0.0013248,1.41261,1.84335,0.40128,0.0415552
22,0.001952,1.3646,1.82397,0.398387,0.0408
23,0.0013504,1.38879,1.92347,0.408109,0.0405952
24,0.0013696,1.33103,1.89256,0.403168,0.0404608
25,0.0013056,1.3062,1.9281,0.40345,0.041056
26,0.0013312,1.32415,1.89185,0.404589,0.0418944
27,0.0013568,1.38998,1.86415,0.407526,0.0430016
28,0.0013952,1.34209,1.71947,0.405472,0.0446144
29,0.0013824,1.41528,1.68602,0.434669,0.0459008
30,0.0013824,1.45064,1.7975,0.409862,0.0456768
31,0.0014272,1.45455,1.88704,0.410976,0.0464256
32,0.0013056,1.45309,1.74555,0.410995,0.0463296
33,0.0013824,1.44046,1.69869,0.436224,0.0477056
34,0.0013952,1.45063,1.66973,0.437171,0.0479552
35,0.0013504,1.43274,1.67981,0.410374,0.0474752
36,0.0013632,1.47644,1.70489,0.409088,0.0477056
37,0.0013568,1.49045,1.7213,0.408794,0.0476992
38,0.001376,1.49605,1.72056,0.409971,0.0469632
39,0.0014272,1.50326,1.74369,0.409517,0.0464768
40,0.001312,1.54433,1.76331,0.41017,0.0455232
41,0.0013376,1.46524,1.77992,0.411136,0.0452032
42,0.001312,1.47802,1.74468,0.407782,0.0443008
43,0.0013824,1.4421,1.76476,0.412339,0.0438528
44,0.0013056,1.49491,1.82577,0.490208,0.0448
45,0.00128,1.43412,1.75827,0.412909,0.043296
